frame,timestamp,L,a,b,agtron_interpolado,origem_video
448,14.64,154.506,130.394,131.427,91.823,v1
449,14.672,152.534,130.102,131.285,91.815,v1
450,14.708,151.293,130.064,131.308,91.807,v1
451,14.74,150.367,130.219,131.263,91.799,v1
452,14.772,151.315,129.938,131.48,91.792,v1
453,14.804,152.447,130.097,131.131,91.784,v1
454,14.836,154.254,129.407,131.117,91.776,v1
455,14.872,154.652,129.55,131.303,91.768,v1
456,14.904,153.928,129.765,131.044,91.76,v1
457,14.936,153.35,130.039,131.182,91.753,v1
458,14.968,151.608,129.66,131.226,91.745,v1
459,15.0,151.745,130.079,131.416,91.738,v1
460,15.036,151.873,130.019,131.292,91.729,v1
461,15.068,151.924,130.332,130.833,91.722,v1
462,15.1,151.836,129.553,130.782,91.714,v1
463,15.132,151.585,129.68,130.719,91.707,v1
464,15.164,150.94,129.885,130.937,91.699,v1
465,15.196,151.492,129.734,131.218,91.691,v1
466,15.232,150.155,130.002,131.103,91.683,v1
467,15.264,149.343,129.852,131.347,91.675,v1
468,15.296,148.285,130.102,130.875,91.668,v1
469,15.328,149.342,129.577,131.062,91.66,v1
470,15.36,149.887,129.746,130.807,91.653,v1
471,15.396,149.795,129.393,130.994,91.644,v1
472,15.428,150.993,129.756,130.761,91.637,v1
473,15.46,150.142,129.736,130.901,91.629,v1
474,15.492,151.599,129.595,131.467,91.622,v1
475,15.524,152.554,129.489,130.693,91.614,v1
476,15.56,151.856,129.402,131.001,91.606,v1
477,15.592,151.428,129.408,130.928,91.598,v1
478,15.624,153.593,129.337,131.34,91.59,v1
479,15.656,154.611,129.297,131.31,91.583,v1
480,15.688,156.993,128.834,131.065,91.575,v1
481,15.72,156.324,129.229,130.517,91.568,v1
482,15.756,155.711,129.037,131.03,91.559,v1
483,15.788,156.846,129.174,131.071,91.552,v1
484,15.82,157.784,128.99,131.031,91.544,v1
485,15.852,158.081,129.011,130.753,91.537,v1
486,15.884,157.819,129.182,130.752,91.529,v1
487,15.92,159.001,129.13,130.926,91.521,v1
488,15.952,158.928,129.322,130.934,91.513,v1
489,15.984,158.287,129.248,130.856,91.505,v1
490,16.016,158.329,128.896,130.541,91.498,v1
491,16.048,158.605,128.995,130.201,91.49,v1
492,16.084,157.919,128.872,130.495,91.482,v1
493,16.116,158.201,128.511,130.22,91.474,v1
494,16.148,159.576,128.561,130.533,91.467,v1
495,16.18,160.346,128.59,130.136,91.459,v1
496,16.212,161.673,128.673,130.162,91.452,v1
497,16.244,162.489,128.579,130.428,91.444,v1
498,16.28,163.008,128.325,130.442,91.436,v1
499,16.312,163.504,128.457,130.227,91.428,v1
500,16.344,164.594,128.304,130.225,91.42,v1
501,16.376,164.699,128.649,130.049,91.413,v1
502,16.408,164.027,128.335,130.333,91.405,v1
503,16.444,164.252,128.499,130.504,91.397,v1
504,16.476,164.453,128.402,130.336,91.389,v1
505,16.508,164.697,128.429,130.352,91.382,v1
506,16.54,165.044,128.237,130.268,91.374,v1
507,16.572,165.776,128.396,129.969,91.367,v1
508,16.608,165.293,128.355,129.945,91.358,v1
509,16.64,165.067,128.148,129.846,91.351,v1
510,16.672,164.967,127.54,129.988,91.343,v1
511,16.704,165.914,127.475,129.975,91.335,v1
512,16.736,166.357,127.67,129.731,91.328,v1
513,16.768,166.128,127.816,129.833,91.32,v1
